source,target,distance_km,source_lat,source_lon,target_lat,target_lon,time_hr,cost_usd
Delhi,Mumbai,1400,28.7041,77.1025,19.0760,72.8777,2.5,80
Delhi,Bengaluru,2150,28.7041,77.1025,12.9716,77.5946,3.5,100
Delhi,Chennai,2180,28.7041,77.1025,13.0827,80.2707,3.5,110
Delhi,Hyderabad,1510,28.7041,77.1025,17.3850,78.4867,2.5,85
Delhi,Kolkata,1500,28.7041,77.1025,22.5726,88.3639,2.5,90
Mumbai,Bengaluru,980,19.0760,72.8777,12.9716,77.5946,2,70
Mumbai,Chennai,1030,19.0760,72.8777,13.0827,80.2707,2,75
Mumbai,Hyderabad,710,19.0760,72.8777,17.3850,78.4867,1.5,60
Mumbai,Kolkata,1660,19.0760,72.8777,22.5726,88.3639,2.5,95
Bengaluru,Chennai,350,12.9716,77.5946,13.0827,80.2707,1,40
Bengaluru,Hyderabad,570,12.9716,77.5946,17.3850,78.4867,1.2,50
Bengaluru,Pune,830,12.9716,77.5946,18.5204,73.8567,1.5,55
Chennai,Hyderabad,620,13.0827,80.2707,17.3850,78.4867,1.2,50
Chennai,Kolkata,1660,13.0827,80.2707,22.5726,88.3639,2.5,95
Hyderabad,Kolkata,1420,17.3850,78.4867,22.5726,88.3639,2.2,85
Hyderabad,Pune,560,17.3850,78.4867,18.5204,73.8567,1,50
Kolkata,Jaipur,1600,22.5726,88.3639,26.9124,75.7873,2.5,90
Kolkata,Lucknow,1200,22.5726,88.3639,26.8467,80.9462,2,80
Jaipur,Lucknow,550,26.9124,75.7873,26.8467,80.9462,1,40
Jaipur,Ahmedabad,630,26.9124,75.7873,23.0225,72.5714,1.2,45
Ahmedabad,Pune,660,23.0225,72.5714,18.5204,73.8567,1.3,50
Ahmedabad,Mumbai,530,23.0225,72.5714,19.0760,72.8777,1.2,45
Pune,Lucknow,1220,18.5204,73.8567,26.8467,80.9462,2.5,85
Pune,Mumbai,150,18.5204,73.8567,19.0760,72.8777,0.5,20
Lucknow,Hyderabad,1150,26.8467,80.9462,17.3850,78.4867,2,75
Lucknow,Delhi,500,26.8467,80.9462,28.7041,77.1025,1,35
Chandigarh,Delhi,250,30.7333,76.7794,28.7041,77.1025,0.8,25
Chandigarh,Jaipur,550,30.7333,76.7794,26.9124,75.7873,1.2,40
Chandigarh,Lucknow,700,30.7333,76.7794,26.8467,80.9462,1.5,45
Patna,Delhi,1000,25.5941,85.1376,28.7041,77.1025,2,70
Patna,Kolkata,580,25.5941,85.1376,22.5726,88.3639,1.2,50
Patna,Lucknow,540,25.5941,85.1376,26.8467,80.9462,1.1,45
Bhubaneswar,Kolkata,440,20.2961,85.8245,22.5726,88.3639,1,40
Bhubaneswar,Chennai,1160,20.2961,85.8245,13.0827,80.2707,2,75
Bhubaneswar,Hyderabad,1150,20.2961,85.8245,17.3850,78.4867,2,70
Goa,Mumbai,450,15.2993,74.1240,19.0760,72.8777,1,35
Goa,Bengaluru,560,15.2993,74.1240,12.9716,77.5946,1.2,45
Goa,Hyderabad,680,15.2993,74.1240,17.3850,78.4867,1.5,50
Kochi,Bengaluru,220,9.9312,76.2673,12.9716,77.5946,0.8,25
Kochi,Chennai,440,9.9312,76.2673,13.0827,80.2707,1.2,35
Kochi,Hyderabad,660,9.9312,76.2673,17.3850,78.4867,1.5,45
Jaipur,Delhi,280,26.9124,75.7873,28.7041,77.1025,0.9,30
Ahmedabad,Delhi,950,23.0225,72.5714,28.7041,77.1025,2,70
Indore,Mumbai,585,22.7196,75.8577,19.0760,72.8777,1.2,45
Indore,Delhi,780,22.7196,75.8577,28.7041,77.1025,1.5,50
Vadodara,Ahmedabad,110,22.3072,73.1812,23.0225,72.5714,0.3,15
Vadodara,Mumbai,420,22.3072,73.1812,19.0760,72.8777,1,35
Nagpur,Hyderabad,500,21.1458,79.0882,17.3850,78.4867,1.2,40
Nagpur,Delhi,850,21.1458,79.0882,28.7041,77.1025,2,60
Nagpur,Bengaluru,970,21.1458,79.0882,12.9716,77.5946,2,65
Surat,Mumbai,280,21.1702,72.8311,19.0760,72.8777,0.7,25
Surat,Ahmedabad,260,21.1702,72.8311,23.0225,72.5714,0.8,25
Visakhapatnam,Hyderabad,620,17.6868,83.2185,17.3850,78.4867,1.2,45
Visakhapatnam,Chennai,800,17.6868,83.2185,13.0827,80.2707,1.5,50
